name,price_cr,bhk,area,possession,legal_status,connectivity
Concorde Lake 42,3.3,5,Yelahanka,Dec 2026,Clear,Metro 2km
Prestige Park 43,5.2,4,Marathahalli,Dec 2026,Clear,ORR Access
Concorde Heights 44,2.8,3,Yelahanka,Mar 2027,Clear,ORR Access
Concorde City 45,4.6,5,Yelahanka,Sep 2026,Clear,Bus Stop 500m
Adarsh Woods 46,6.8,4,Marathahalli,Ready,Clear,ORR Access
Prestige Lake 47,3.1,3,Electronic City,Sep 2026,Clear,ORR Access
Shobha Enclave 48,3.1,2,Sarjapur Road,Jun 2027,Clear,Highway Access
Concorde Lake 49,4.6,4,Whitefield,Sep 2026,Clear,Highway Access
Concorde Park 50,6.0,5,Whitefield,Sep 2026,Clear,Bus Stop 500m
Sobha Woods 51,5.0,5,HSR Layout,Sep 2026,Clear,Metro 1km
Prestige Heights 52,2.2,2,Indiranagar,Ready,Clear,Metro 1km
Puravankara Villas 53,4.4,5,Kadubeesanahalli,Sep 2026,Clear,ORR Access
DNR Woods 54,3.9,5,Whitefield,Sep 2026,Clear,Highway Access
DNR Villas 55,4.8,5,HSR Layout,Ready,Clear,ORR Access
Prestige Greens 56,3.4,3,Electronic City,Ready,Clear,Highway Access
Shobha City 57,2.5,3,Sarjapur Road,Mar 2027,Clear,Bus Stop 500m
Puravankara Heights 58,2.5,2,Sarjapur Road,Mar 2027,Clear,ORR Access
Sobha Towers 59,6.2,5,Koramangala,Jun 2027,Clear,Metro 2km
Puravankara Courtyard 60,5.4,5,Whitefield,Ready,Clear,Metro 2km
Concorde Towers 61,5.5,4,Koramangala,Sep 2026,Clear,Metro 3km
Shobha Villas 62,6.4,4,Kadubeesanahalli,Ready,Clear,ORR Access
Concorde Towers 63,3.4,4,Yelahanka,Mar 2027,Clear,Metro 3km
Adarsh Lake 64,6.2,4,Koramangala,Jun 2027,Clear,Metro 3km
Concorde Courtyard 65,1.8,2,Koramangala,Sep 2026,Clear,Metro 1km
Shobha City 66,2.6,3,Sarjapur Road,Jun 2027,Clear,Highway Access
Prestige City 67,4.1,4,Bellandur,Jun 2027,Clear,Metro 1km
Puravankara Towers 68,6.5,4,Koramangala,Dec 2026,Clear,Metro 1km
DNR Greens 69,1.6,3,HSR Layout,Mar 2027,Clear,Metro 3km
Prestige Lake 70,3.4,2,Marathahalli,Jun 2027,Clear,ORR Access
DNR Lake 71,2.7,4,Yelahanka,Sep 2026,Clear,ORR Access
Shobha Towers 72,3.5,4,Marathahalli,Ready,Clear,Bus Stop 500m
Prestige Lake 73,3.1,5,Sarjapur Road,Mar 2027,Clear,Metro 2km
Shobha Lake 74,5.0,4,Bellandur,Sep 2026,Clear,ORR Access
DNR Enclave 75,5.3,5,Indiranagar,Sep 2026,Clear,Metro 1km
Prestige Greens 76,4.5,2,Marathahalli,Jun 2027,Clear,Metro 2km
Concorde Towers 77,4.5,2,Whitefield,Ready,Clear,Metro 1km
Brigade Greens 78,4.6,2,Marathahalli,Ready,Clear,ORR Access
Shobha Woods 79,2.1,2,Sarjapur Road,Ready,Clear,Metro 3km
Prestige Greens 80,4.5,4,Yelahanka,Jun 2027,Clear,Metro 3km
DNR Heights 81,2.3,3,HSR Layout,Jun 2027,Pending,Bus Stop 500m
Adarsh Park 82,3.0,4,Sarjapur Road,Ready,Clear,Highway Access
DNR City 83,3.1,3,Whitefield,Jun 2027,Clear,Metro 3km
Adarsh Courtyard 84,3.1,2,Bellandur,Dec 2026,Clear,Highway Access
Puravankara Park 85,2.2,5,Yelahanka,Jun 2027,Clear,Metro 2km
Puravankara Woods 86,3.6,2,HSR Layout,Jun 2027,Clear,Metro 1km
Brigade Woods 87,2.8,3,Kadubeesanahalli,Mar 2027,Clear,Highway Access
Godrej Courtyard 88,2.0,2,Koramangala,Ready,Clear,ORR Access
Adarsh Villas 89,1.5,2,Yelahanka,Mar 2027,Clear,Metro 1km
Sobha Heights 90,2.6,4,Sarjapur Road,Dec 2026,Clear,Highway Access
Concorde Park 91,4.9,3,Bellandur,Dec 2026,Clear,Bus Stop 500m
Sobha Enclave 92,4.7,4,Bellandur,Mar 2027,Clear,Metro 1km
Shobha Villas 93,3.7,5,Yelahanka,Ready,Clear,ORR Access
Brigade Villas 94,4.2,4,Whitefield,Ready,Clear,Bus Stop 500m
Sobha Villas 95,3.9,5,Kadubeesanahalli,Jun 2027,Clear,Metro 3km
Shobha Heights 96,4.7,2,HSR Layout,Mar 2027,Clear,Metro 1km
Godrej Park 97,3.7,2,Whitefield,Mar 2027,Clear,Metro 1km
Godrej Lake 98,2.6,3,Electronic City,Sep 2026,Clear,Metro 2km
Adarsh Towers 99,1.4,2,Sarjapur Road,Sep 2026,Clear,Highway Access
Puravankara Courtyard 100,3.1,5,Sarjapur Road,Mar 2027,Clear,ORR Access
DNR Heights 101,4.1,4,Indiranagar,Jun 2027,Clear,Metro 2km
DNR City 102,2.0,3,Marathahalli,Sep 2026,Clear,Bus Stop 500m
Prestige Greens 103,1.3,3,Yelahanka,Jun 2027,Disputed,ORR Access
DNR Towers 104,1.0,2,Sarjapur Road,Ready,Clear,Metro 3km
Shobha Greens 105,1.2,3,Electronic City,Jun 2027,Clear,ORR Access
Adarsh Towers 106,2.8,3,Marathahalli,Ready,Clear,ORR Access
Adarsh Villas 107,2.4,3,Indiranagar,Sep 2026,Clear,Metro 3km
Puravankara Lake 108,5.3,5,Marathahalli,Sep 2026,Clear,Highway Access
Shobha City 109,4.3,4,Marathahalli,Sep 2026,Clear,Metro 1km
Puravankara Enclave 110,1.5,2,Electronic City,Jun 2027,Clear,Metro 1km
Brigade Greens 111,2.7,3,Marathahalli,Ready,Clear,Metro 2km
Shobha Courtyard 112,1.7,2,Indiranagar,Ready,Clear,Metro 3km
Concorde Villas 113,2.8,2,Electronic City,Mar 2027,Clear,Highway Access
Concorde City 114,4.2,3,Koramangala,Ready,Clear,Metro 3km
Adarsh Greens 115,4.8,4,Kadubeesanahalli,Sep 2026,Clear,Highway Access
Brigade Heights 116,5.0,5,Koramangala,Mar 2027,Clear,Metro 1km
Shobha Enclave 117,3.8,3,Bellandur,Dec 2026,Clear,Metro 2km
Godrej Greens 118,2.5,2,Indiranagar,Jun 2027,Clear,Bus Stop 500m
DNR Greens 119,2.6,2,Sarjapur Road,Ready,Clear,Metro 1km
DNR Park 120,5.9,5,Indiranagar,Mar 2027,Clear,Bus Stop 500m
Concorde Park 121,2.5,2,HSR Layout,Dec 2026,Clear,Metro 3km
Salarpuria Park 122,2.5,4,Yelahanka,Jun 2027,Clear,Metro 2km
Concorde Courtyard 123,2.8,5,Sarjapur Road,Sep 2026,Clear,Metro 1km
Concorde Courtyard 124,6.7,5,Bellandur,Dec 2026,Clear,Highway Access
Concorde Courtyard 125,3.2,5,HSR Layout,Jun 2027,Clear,Bus Stop 500m
Brigade Heights 126,3.4,3,Electronic City,Jun 2027,Clear,Metro 3km
DNR Greens 127,4.1,5,Electronic City,Jun 2027,Clear,Highway Access
Salarpuria City 128,4.7,5,Yelahanka,Ready,Clear,ORR Access
DNR Enclave 129,5.3,5,Marathahalli,Ready,Clear,Metro 3km
Shobha Park 130,5.0,4,Koramangala,Dec 2026,Clear,Metro 2km
Sobha Courtyard 131,2.3,3,HSR Layout,Dec 2026,Clear,Metro 1km
Salarpuria Lake 132,6.5,4,Whitefield,Jun 2027,Clear,Metro 3km
Adarsh Courtyard 133,1.7,3,Bellandur,Sep 2026,Clear,Metro 3km
Prestige Lake 134,4.5,4,Marathahalli,Mar 2027,Clear,Highway Access
Godrej Courtyard 135,4.0,3,Whitefield,Ready,Clear,Highway Access
Concorde Greens 136,2.0,2,Koramangala,Mar 2027,Clear,Highway Access
Godrej Heights 137,4.2,5,Kadubeesanahalli,Sep 2026,Clear,Bus Stop 500m
Godrej Villas 138,5.3,5,Koramangala,Mar 2027,Clear,ORR Access
Puravankara Park 139,3.3,3,Indiranagar,Mar 2027,Clear,Highway Access
Salarpuria Courtyard 140,6.3,4,Kadubeesanahalli,Mar 2027,Clear,ORR Access
Brigade Woods 141,4.9,4,Sarjapur Road,Ready,Clear,Bus Stop 500m
Godrej Heights 142,4.8,5,Indiranagar,Jun 2027,Clear,Metro 3km
Salarpuria City 143,3.5,3,Whitefield,Jun 2027,Clear,Metro 3km
Sobha City 144,4.4,2,Marathahalli,Jun 2027,Clear,Metro 2km
DNR Towers 145,5.8,5,Whitefield,Mar 2027,Clear,Bus Stop 500m
Concorde Towers 146,3.4,4,Electronic City,Sep 2026,Clear,Metro 3km
Adarsh Courtyard 147,2.4,2,Koramangala,Ready,Clear,Metro 3km
Prestige Heights 148,2.7,2,Whitefield,Mar 2027,Clear,Metro 1km
Salarpuria Woods 149,3.5,2,Marathahalli,Ready,Clear,Highway Access
Adarsh Lake 150,3.7,3,Indiranagar,Sep 2026,Clear,Bus Stop 500m
Shobha Heights 151,3.0,4,Whitefield,Mar 2027,Clear,ORR Access
Brigade Park 152,4.0,5,Sarjapur Road,Dec 2026,Clear,Metro 1km
Shobha Villas 153,3.5,4,Kadubeesanahalli,Jun 2027,Clear,Metro 2km
Puravankara Towers 154,4.9,4,Electronic City,Sep 2026,Clear,Bus Stop 500m
Puravankara Park 155,2.0,2,Sarjapur Road,Dec 2026,Clear,Bus Stop 500m
Puravankara Park 156,3.0,3,Bellandur,Jun 2027,Clear,Highway Access
Brigade City 157,5.4,4,Indiranagar,Ready,Clear,Metro 2km
DNR Woods 158,5.0,5,Whitefield,Ready,Clear,Highway Access
Salarpuria Greens 159,4.1,5,Electronic City,Dec 2026,Clear,Metro 3km
Godrej Courtyard 160,6.1,5,Bellandur,Jun 2027,Clear,Highway Access
Puravankara Towers 161,6.8,5,Kadubeesanahalli,Dec 2026,Clear,Metro 1km
Salarpuria Woods 162,2.5,3,Whitefield,Sep 2026,Clear,Metro 1km
Brigade Courtyard 163,4.1,5,Electronic City,Jun 2027,Clear,Metro 2km
Concorde Towers 164,3.2,4,Sarjapur Road,Jun 2027,Clear,Bus Stop 500m
Salarpuria Towers 165,1.8,3,Marathahalli,Sep 2026,Clear,ORR Access
Salarpuria Towers 166,3.8,5,Yelahanka,Jun 2027,Clear,Bus Stop 500m
Salarpuria Enclave 167,1.8,2,HSR Layout,Ready,Clear,Highway Access
Sobha City 168,2.0,3,Indiranagar,Sep 2026,Clear,Metro 3km
Concorde Enclave 169,3.8,2,Koramangala,Ready,Clear,Metro 2km
Concorde Lake 170,6.4,4,HSR Layout,Mar 2027,Clear,Metro 3km
Puravankara Lake 171,2.4,2,Indiranagar,Dec 2026,Clear,Metro 3km
Concorde City 172,3.4,2,Marathahalli,Dec 2026,Clear,ORR Access
Adarsh Enclave 173,3.3,5,Electronic City,Dec 2026,Pending,Metro 3km
Adarsh Enclave 174,3.1,2,Whitefield,Dec 2026,Clear,ORR Access
Brigade Enclave 175,3.2,2,Sarjapur Road,Sep 2026,Clear,Metro 1km
DNR Villas 176,1.5,2,Marathahalli,Ready,Clear,ORR Access
Shobha Heights 177,4.1,4,Indiranagar,Ready,Clear,Metro 2km
Puravankara Park 178,4.5,2,Bellandur,Ready,Clear,ORR Access
Brigade Towers 179,1.8,2,Indiranagar,Sep 2026,Clear,Metro 2km
Brigade Greens 180,4.8,3,Kadubeesanahalli,Ready,Clear,ORR Access
Godrej Villas 181,1.7,2,Kadubeesanahalli,Mar 2027,Clear,Bus Stop 500m
Puravankara Woods 182,5.4,5,HSR Layout,Dec 2026,Clear,Metro 1km
Shobha Heights 183,3.3,2,Sarjapur Road,Mar 2027,Clear,Metro 3km
Salarpuria Woods 184,3.4,5,Bellandur,Jun 2027,Clear,Metro 1km
Sobha City 185,2.4,2,Sarjapur Road,Mar 2027,Clear,ORR Access
Sobha City 186,4.1,5,Yelahanka,Dec 2026,Clear,Bus Stop 500m
Brigade Lake 187,3.3,5,Koramangala,Dec 2026,Clear,Metro 3km
Adarsh Enclave 188,2.7,3,Marathahalli,Mar 2027,Clear,Highway Access
Sobha Park 189,5.3,4,Koramangala,Sep 2026,Clear,Metro 3km
Salarpuria Villas 190,1.9,3,Koramangala,Jun 2027,Clear,ORR Access
Concorde Enclave 191,2.5,4,Yelahanka,Ready,Clear,Metro 2km
Sobha Lake 192,1.2,2,Yelahanka,Sep 2026,Clear,Metro 1km
Brigade City 193,4.8,4,Whitefield,Ready,Clear,ORR Access
Shobha Heights 194,4.6,4,Electronic City,Dec 2026,Clear,Metro 2km
Godrej Heights 195,1.2,3,Sarjapur Road,Sep 2026,Clear,ORR Access
Puravankara Towers 196,3.9,3,Marathahalli,Ready,Clear,Metro 3km
Sobha Park 197,4.7,5,Yelahanka,Dec 2026,Clear,Highway Access
Salarpuria Woods 198,5.0,4,Indiranagar,Jun 2027,Clear,Bus Stop 500m
Godrej Greens 199,2.9,2,Bellandur,Mar 2027,Clear,Bus Stop 500m
DNR Courtyard 200,2.5,2,Kadubeesanahalli,Sep 2026,Clear,Metro 2km
Sobha Greens 201,6.5,4,Indiranagar,Jun 2027,Clear,Metro 1km
Salarpuria Lake 202,4.0,2,Koramangala,Sep 2026,Clear,Highway Access
Salarpuria Towers 203,4.4,4,HSR Layout,Jun 2027,Clear,Bus Stop 500m
Prestige Woods 204,4.1,5,Yelahanka,Sep 2026,Clear,Metro 1km
Salarpuria Woods 205,1.9,2,Sarjapur Road,Jun 2027,Clear,Metro 1km
Salarpuria City 206,2.5,3,Electronic City,Dec 2026,Clear,Bus Stop 500m
Sobha Villas 207,4.2,5,Sarjapur Road,Sep 2026,Clear,Bus Stop 500m
Puravankara Heights 208,4.5,4,Electronic City,Sep 2026,Disputed,Metro 2km
Puravankara Towers 209,4.1,5,Electronic City,Sep 2026,Clear,Metro 3km
DNR Woods 210,3.5,2,Electronic City,Dec 2026,Clear,Metro 3km
Puravankara Towers 211,3.2,5,Whitefield,Sep 2026,Clear,Metro 2km
Brigade Lake 212,2.3,3,HSR Layout,Sep 2026,Clear,Highway Access
Shobha Park 213,2.0,2,Sarjapur Road,Dec 2026,Clear,Metro 2km
Prestige Towers 214,3.5,5,HSR Layout,Mar 2027,Clear,Metro 3km
Godrej Lake 215,1.8,2,Kadubeesanahalli,Dec 2026,Clear,Metro 3km
Salarpuria Greens 216,6.1,5,Marathahalli,Mar 2027,Clear,Metro 2km
Prestige Park 217,6.6,4,Whitefield,Jun 2027,Clear,Metro 1km
DNR City 218,2.4,3,Kadubeesanahalli,Mar 2027,Clear,Bus Stop 500m
Sobha Courtyard 219,1.5,2,Yelahanka,Sep 2026,Clear,Bus Stop 500m
Sobha Villas 220,2.6,2,Bellandur,Sep 2026,Clear,Metro 3km
Shobha Heights 221,5.1,5,Kadubeesanahalli,Mar 2027,Clear,Metro 1km
Brigade Greens 222,2.7,2,Electronic City,Ready,Clear,Highway Access
Concorde Enclave 223,4.0,2,Bellandur,Ready,Clear,Metro 3km
Godrej Park 224,1.7,3,Whitefield,Mar 2027,Clear,Highway Access
DNR Greens 225,3.3,5,Sarjapur Road,Dec 2026,Clear,ORR Access
Adarsh Woods 226,3.4,3,Electronic City,Sep 2026,Clear,Bus Stop 500m
Concorde Towers 227,3.5,3,Marathahalli,Jun 2027,Clear,Metro 2km
DNR Heights 228,4.2,5,Marathahalli,Sep 2026,Clear,ORR Access
Godrej Enclave 229,4.8,2,HSR Layout,Dec 2026,Clear,Metro 1km
Adarsh Woods 230,3.5,5,Kadubeesanahalli,Dec 2026,Clear,Metro 3km
Godrej Courtyard 231,2.4,2,Sarjapur Road,Jun 2027,Clear,ORR Access
Prestige Courtyard 232,4.7,3,Koramangala,Jun 2027,Clear,Bus Stop 500m
Sobha City 233,4.4,3,Indiranagar,Sep 2026,Clear,ORR Access
Adarsh Greens 234,5.6,5,Kadubeesanahalli,Mar 2027,Clear,Metro 1km
Salarpuria Park 235,2.2,2,Koramangala,Mar 2027,Clear,Bus Stop 500m
Adarsh Enclave 236,5.5,4,Whitefield,Ready,Clear,ORR Access
Prestige City 237,6.3,5,Marathahalli,Dec 2026,Clear,Metro 3km
Salarpuria City 238,6.3,5,Bellandur,Jun 2027,Clear,Highway Access
Puravankara Park 239,3.1,5,Sarjapur Road,Sep 2026,Clear,Highway Access
Concorde Heights 240,5.3,4,Marathahalli,Jun 2027,Clear,Metro 1km
Sobha Courtyard 241,4.7,5,Indiranagar,Ready,Clear,Metro 3km
Puravankara Woods 242,3.3,2,Electronic City,Jun 2027,Clear,Metro 3km
Puravankara Park 243,5.7,5,Koramangala,Sep 2026,Clear,Metro 3km
Sobha Courtyard 244,4.1,4,Koramangala,Dec 2026,Clear,Metro 1km
Salarpuria Woods 245,2.5,4,Sarjapur Road,Dec 2026,Clear,Metro 3km
Sobha Enclave 246,4.8,2,Indiranagar,Ready,Clear,Highway Access
Brigade City 247,3.2,2,HSR Layout,Jun 2027,Clear,Metro 1km
Adarsh Woods 248,5.4,5,Whitefield,Sep 2026,Clear,Metro 3km
Salarpuria Woods 249,1.4,3,Yelahanka,Mar 2027,Clear,Metro 3km
Puravankara City 250,2.8,2,Koramangala,Jun 2027,Clear,Metro 3km
Shobha Heights 251,4.0,2,Marathahalli,Sep 2026,Clear,Highway Access
DNR Park 252,3.2,3,Yelahanka,Mar 2027,Clear,Metro 3km
Godrej Enclave 253,4.9,2,HSR Layout,Jun 2027,Clear,Metro 3km
DNR Heights 254,3.6,4,Electronic City,Sep 2026,Clear,Bus Stop 500m
Salarpuria Lake 255,5.4,4,Bellandur,Mar 2027,Clear,ORR Access
Prestige Lake 256,2.7,3,HSR Layout,Dec 2026,Clear,ORR Access
Godrej Courtyard 257,3.8,4,HSR Layout,Sep 2026,Clear,Bus Stop 500m
Sobha Villas 258,1.6,2,Whitefield,Sep 2026,Clear,Metro 2km
Shobha Woods 259,1.7,3,Whitefield,Sep 2026,Clear,Metro 2km
Godrej City 260,3.1,3,Koramangala,Mar 2027,Clear,Metro 3km
DNR Greens 261,4.7,4,Whitefield,Mar 2027,Clear,Highway Access
Concorde Lake 262,3.4,4,Electronic City,Jun 2027,Clear,ORR Access
Shobha Heights 263,3.4,3,HSR Layout,Sep 2026,Clear,Bus Stop 500m
Puravankara Heights 264,4.3,2,Whitefield,Dec 2026,Clear,Highway Access
Adarsh City 265,5.7,4,Whitefield,Ready,Clear,Metro 1km
Sobha Heights 266,3.3,3,Bellandur,Mar 2027,Clear,ORR Access
Prestige Lake 267,2.3,2,Yelahanka,Ready,Clear,Bus Stop 500m
Brigade Courtyard 268,3.3,4,Koramangala,Dec 2026,Clear,Bus Stop 500m
DNR Towers 269,1.6,2,Electronic City,Ready,Clear,Metro 1km
Brigade Woods 270,3.5,2,Whitefield,Sep 2026,Clear,ORR Access
Sobha Park 271,2.6,5,Electronic City,Sep 2026,Clear,Metro 3km
Salarpuria Woods 272,1.5,3,Sarjapur Road,Ready,Clear,ORR Access
Brigade Greens 273,1.6,3,Kadubeesanahalli,Ready,Clear,Bus Stop 500m
Brigade Woods 274,5.0,5,Koramangala,Jun 2027,Clear,ORR Access
Godrej Towers 275,3.2,4,Electronic City,Ready,Clear,Metro 2km
Godrej Towers 276,3.1,4,Yelahanka,Sep 2026,Clear,Metro 2km
Sobha Lake 277,3.2,4,Marathahalli,Sep 2026,Clear,Metro 1km
Prestige Towers 278,2.5,3,Yelahanka,Ready,Clear,Metro 3km
Puravankara Heights 279,2.5,5,Sarjapur Road,Mar 2027,Clear,Metro 3km
DNR Courtyard 280,4.8,5,Indiranagar,Mar 2027,Clear,Highway Access
Brigade Woods 281,4.2,5,Kadubeesanahalli,Mar 2027,Clear,Metro 3km
Adarsh Woods 282,6.5,4,Marathahalli,Mar 2027,Clear,ORR Access
Brigade Towers 283,2.1,3,HSR Layout,Jun 2027,Clear,ORR Access
Prestige Greens 284,2.8,3,Electronic City,Ready,Disputed,ORR Access
Salarpuria Lake 285,3.2,3,Yelahanka,Mar 2027,Clear,Highway Access
Sobha Greens 286,3.6,2,HSR Layout,Jun 2027,Clear,Metro 2km
Shobha Enclave 287,4.7,5,Sarjapur Road,Mar 2027,Clear,Bus Stop 500m
Adarsh Courtyard 288,4.3,4,Sarjapur Road,Jun 2027,Clear,Metro 3km
Adarsh Greens 289,3.8,5,Kadubeesanahalli,Dec 2026,Clear,Bus Stop 500m
Sobha Woods 290,1.4,3,Yelahanka,Jun 2027,Clear,ORR Access
Sobha Woods 291,5.2,4,Whitefield,Ready,Clear,Highway Access
Concorde Greens 292,5.6,4,Bellandur,Mar 2027,Clear,Highway Access
Salarpuria City 293,3.4,5,Marathahalli,Dec 2026,Clear,Metro 2km
Godrej City 294,3.5,5,Yelahanka,Sep 2026,Clear,Highway Access
Puravankara Enclave 295,2.5,5,Yelahanka,Jun 2027,Clear,Metro 1km
Puravankara Courtyard 296,6.3,5,Marathahalli,Mar 2027,Clear,Metro 1km
Prestige Greens 297,3.0,3,Marathahalli,Mar 2027,Clear,Bus Stop 500m
Adarsh Lake 298,3.1,3,Kadubeesanahalli,Sep 2026,Clear,Highway Access
Adarsh Heights 299,5.2,5,Kadubeesanahalli,Dec 2026,Clear,Metro 3km
Brigade Park 300,4.8,4,Whitefield,Ready,Clear,Metro 1km
Sobha Lake 301,5.3,4,Marathahalli,Ready,Clear,ORR Access
Concorde Enclave 302,4.4,4,Kadubeesanahalli,Dec 2026,Clear,Metro 2km
DNR Greens 303,5.0,5,Marathahalli,Dec 2026,Clear,Metro 1km
Shobha Enclave 304,4.6,4,HSR Layout,Sep 2026,Clear,Bus Stop 500m
Sobha Enclave 305,4.2,3,Indiranagar,Jun 2027,Clear,Metro 1km
DNR Greens 306,2.6,3,Electronic City,Mar 2027,Clear,Metro 1km
Puravankara Towers 307,3.2,4,Yelahanka,Jun 2027,Clear,Highway Access
Salarpuria Park 308,2.9,5,Yelahanka,Jun 2027,Clear,Bus Stop 500m
Shobha Greens 309,4.8,5,Koramangala,Ready,Clear,ORR Access
Adarsh Courtyard 310,6.0,5,Marathahalli,Mar 2027,Clear,Metro 1km
Puravankara Woods 311,2.3,2,Sarjapur Road,Jun 2027,Clear,Bus Stop 500m
Concorde Heights 312,4.8,4,HSR Layout,Mar 2027,Clear,Metro 2km
Shobha Heights 313,4.4,2,Indiranagar,Mar 2027,Clear,Metro 2km
Sobha Villas 314,4.8,5,Koramangala,Mar 2027,Clear,ORR Access
Brigade Towers 315,3.8,3,Whitefield,Ready,Clear,Metro 3km
Brigade Heights 316,1.5,3,Electronic City,Mar 2027,Clear,Metro 2km
Concorde Woods 317,5.3,4,HSR Layout,Dec 2026,Clear,Metro 1km
Shobha Villas 318,4.5,5,Koramangala,Ready,Clear,Bus Stop 500m
DNR Woods 319,6.1,4,Kadubeesanahalli,Jun 2027,Clear,Highway Access
Salarpuria Heights 320,2.3,2,Marathahalli,Dec 2026,Clear,Metro 2km
Prestige Heights 321,6.3,4,Bellandur,Dec 2026,Clear,Metro 2km
DNR Heights 322,3.2,4,Marathahalli,Mar 2027,Clear,Bus Stop 500m
Puravankara Villas 323,3.8,4,Electronic City,Sep 2026,Clear,Metro 3km
Puravankara City 324,2.8,3,Yelahanka,Dec 2026,Clear,ORR Access
Sobha Woods 325,3.8,5,Kadubeesanahalli,Ready,Clear,ORR Access
Prestige Woods 326,2.3,3,Marathahalli,Jun 2027,Clear,Highway Access
Adarsh Greens 327,3.0,3,Kadubeesanahalli,Jun 2027,Clear,ORR Access
Puravankara Courtyard 328,3.3,3,Kadubeesanahalli,Jun 2027,Clear,Metro 2km
DNR Heights 329,4.8,3,Marathahalli,Mar 2027,Clear,Metro 1km
Concorde Woods 330,3.5,4,Whitefield,Mar 2027,Clear,Highway Access
Shobha Enclave 331,4.9,5,Bellandur,Jun 2027,Clear,ORR Access
DNR Towers 332,1.3,2,Electronic City,Ready,Clear,Metro 1km
Salarpuria Woods 333,2.4,2,Whitefield,Ready,Clear,Metro 2km
Adarsh Park 334,3.9,5,Electronic City,Mar 2027,Clear,Metro 1km
Sobha Courtyard 335,3.8,3,HSR Layout,Dec 2026,Clear,ORR Access
Sobha Towers 336,4.2,5,Bellandur,Dec 2026,Clear,Bus Stop 500m
Salarpuria Courtyard 337,2.6,2,Electronic City,Sep 2026,Clear,Metro 1km
Salarpuria Villas 338,5.1,4,HSR Layout,Dec 2026,Clear,Metro 2km
Concorde Lake 339,3.3,4,Yelahanka,Ready,Clear,Highway Access
DNR Towers 340,1.8,2,Marathahalli,Jun 2027,Clear,ORR Access
